OTU_ID,Cd1,Cd2,Cd3,Cd4,Cd5,Cd6,Cd7,Cd8,Cd9,Cd10,Cd11,Cd12,Cd13,Cd14,Cd15,Cd16,Cd17,Cd18,Cd19,Cd20,Cd21,Cd22,Cd23,Cd24,Cd25,Cd26,Cd27,Cd28,Cd29,Cd30
OTU_415,17,8,41,0,16,18,26,19,18,10,18,30,15,25,33,12,9,26,41,39,14,20,13,17,25,9,6,15,9,8
OTU_81,10,3,11,1,1,0,1,1,2,0,13,1,6,11,64,5,1,0,7,4,52,9,64,3,11,0,8,4,4,0
OTU_44,114,40,89,1,31,0,0,0,16,5,65,41,49,18,93,6,0,0,15,19,39,49,17,15,20,0,11,0,3,0
OTU_1,2118,487,1330,11,315,2,3,0,180,58,859,697,742,296,1530,249,0,0,230,310,517,984,410,242,343,0,227,0,62,0
OTU_94,52,24,108,4,18,41,69,48,57,35,39,52,15,58,86,52,51,62,46,55,25,22,31,12,21,10,39,30,28,23
OTU_2,562,493,1105,13,691,814,1100,920,822,551,817,510,525,695,1762,1703,1039,1629,1012,569,2169,1359,1102,924,2488,680,1749,946,1146,1125
OTU_13,94,6,3,0,99,1,2,0,84,1,77,10,6,48,14,1,2,1,3,540,83,74,15,99,131,2,88,0,159,1
OTU_255,5,1,4,0,3,4,2,7,6,2,0,0,0,1,0,18,1,4,4,3,0,0,0,0,0,0,1,1,3,1
OTU_910,1,0,4,1,3,7,8,3,7,6,1,2,0,0,1,1,4,4,7,4,0,1,0,1,0,0,4,0,0,1
OTU_1893,11,14,27,0,17,12,40,16,21,11,11,8,4,41,17,43,32,49,29,31,11,12,11,10,18,26,22,13,37,65
OTU_575,4,0,3,0,2,0,0,0,0,1,5,1,6,1,5,0,0,0,8,0,17,2,5,4,1,0,0,1,0,0
OTU_20,39,18,42,0,50,93,149,112,89,46,23,24,13,61,55,160,118,199,251,147,47,171,19,32,221,70,183,151,181,100
OTU_874,18,14,14,0,21,0,0,0,0,3,21,1,14,1,3,0,0,0,0,0,9,4,3,1,8,0,0,0,0,0
OTU_28,19,7,12,1,4,0,1,1,8,2,14,14,10,15,89,23,4,6,12,16,56,20,33,21,76,0,47,15,86,0
OTU_811,3,2,4,0,2,5,3,2,2,2,1,1,0,2,4,4,4,3,5,1,3,3,0,0,1,3,6,6,5,2
OTU_629,4,0,4,1,2,11,7,7,8,1,2,2,2,1,4,5,12,15,8,2,1,0,1,1,2,1,1,5,1,3
OTU_828,3,0,2,0,3,0,0,0,0,0,1,1,3,3,6,1,1,0,0,0,1,6,10,2,2,0,2,0,0,0
OTU_24,65,31,103,2,81,80,93,75,99,98,59,108,23,67,93,100,113,131,138,81,41,59,35,31,70,38,106,71,68,107
OTU_91,6,5,13,0,6,2,1,6,2,0,19,29,5,18,30,6,5,8,12,14,14,59,6,13,66,6,6,6,11,12
OTU_30,49,9,20,1,41,49,105,69,34,15,37,22,9,34,76,72,68,168,70,47,54,58,35,17,103,21,56,69,38,38
OTU_14,36,8,45,2,106,56,72,76,91,40,32,37,22,45,65,92,66,76,96,129,26,32,16,13,32,21,55,37,39,43
OTU_288,87,53,57,3,73,7,21,3,21,2,127,29,204,116,52,26,16,9,12,63,567,63,176,288,154,7,31,14,30,13
