ID	Location	Cd_dose	Group
Cd1	Rhizosphere	0_mg	Rhizo_0
Cd2	Rhizosphere	0_mg	Rhizo_0
Cd3	Rhizosphere	0_mg	Rhizo_0
Cd4	Rhizosphere	0_mg	Rhizo_0
Cd5	Rhizosphere	0_mg	Rhizo_0
Cd6	Bulk_soil	0_mg	Bulk_0
Cd7	Bulk_soil	0_mg	Bulk_0
Cd8	Bulk_soil	0_mg	Bulk_0
Cd9	Bulk_soil	0_mg	Bulk_0
Cd10	Bulk_soil	0_mg	Bulk_0
Cd11	Rhizosphere	20_mg	Rhizo_20
Cd12	Rhizosphere	20_mg	Rhizo_20
Cd13	Rhizosphere	20_mg	Rhizo_20
Cd14	Rhizosphere	20_mg	Rhizo_20
Cd15	Rhizosphere	20_mg	Rhizo_20
Cd16	Bulk_soil	20_mg	Bulk_20
Cd17	Bulk_soil	20_mg	Bulk_20
Cd18	Bulk_soil	20_mg	Bulk_20
Cd19	Bulk_soil	20_mg	Bulk_20
Cd20	Bulk_soil	20_mg	Bulk_20
Cd21	Rhizosphere	100_mg	Rhizo_100
Cd22	Rhizosphere	100_mg	Rhizo_100
Cd23	Rhizosphere	100_mg	Rhizo_100
Cd24	Rhizosphere	100_mg	Rhizo_100
Cd25	Rhizosphere	100_mg	Rhizo_100
Cd26	Bulk_soil	100_mg	Bulk_100
Cd27	Bulk_soil	100_mg	Bulk_100
Cd28	Bulk_soil	100_mg	Bulk_100
Cd29	Bulk_soil	100_mg	Bulk_100
Cd30	Bulk_soil	100_mg	Bulk_100
